116: 1/1/2015 06:00 32.96, -97.56 None
117: 1/1/2015 06:01 32.96, -97.56 Drizzle
118: 1/1/2015 06:01 31.74, -97.55 None
119: 1/1/2015 06:04 32.72, -97.39 None
120: 1/1/2015 06:06 30.71, -97.76 Drizzle
121: 1/1/2015 06:10 32.96, -97.56 Freezing Rain
122: 1/1/2015 06:11 32.48, -97.75 Rain/Ice Pellets
123: 1/1/2015 06:11 33.28, -111.87 Rain
124: 1/1/2015 06:12 41.85, -87.99 Test
125: 1/1/2015 06:15 31.11, -97.44 Rain
126: 1/1/2015 06:22 28.85, -98.71 Drizzle
127: 1/1/2015 06:10 32.96, -97.56 Freezing Rain
128: 1/1/2015 06:34 33.60, -112.05 None
129: 1/1/2015 06:35 31.10, -97.49 Rain
130: 1/1/2015 06:35 35.34, -97.47 Test
131: 1/1/2015 06:36 34.66, -99.34 Freezing Rain
132: 1/1/2015 06:37 32.22, -110.97 Snow
133: 1/1/2015 06:40 31.47, -97.11 Drizzle
134: 1/1/2015 06:41 34.87, -98.22 Test
135: 1/1/2015 06:42 32.72, -97.39 Freezing Drizzle
136: 1/1/2015 06:43 32.47, -97.22 Rain
137: 1/1/2015 06:45 40.88, -96.73 None
138: 1/1/2015 06:48 32.42, -97.86 None
139: 1/1/2015 06:49 32.81, -96.85 Drizzle
140: 1/1/2015 06:49 32.53, -96.67 Rain
141: 1/1/2015 06:50 31.52, -96.55 Test
142: 1/1/2015 06:50 32.85, -96.94 Rain
143: 1/1/2015 06:51 32.44, -97.81 Freezing Rain
144: 1/1/2015 06:52 47.72, -122.81 None
145: 1/1/2015 06:53 28.85, -98.71 Drizzle
146: 1/1/2015 06:53 33.20, -97.61 Freezing Rain
147: 1/1/2015 06:54 32.41, -96.82 Rain
148: 1/1/2015 07:03 32.29, -110.75 Snow
149: 1/1/2015 07:06 28.85, -98.71 Drizzle
150: 1/1/2015 07:07 42.76, -105.40 Test
151: 1/1/2015 07:07 30.80, -97.61 Freezing Drizzle
152: 1/1/2015 07:08 31.68, -96.39 Test
153: 1/1/2015 07:09 34.91, -97.78 None
154: 1/1/2015 07:13 32.68, -97.35 Freezing Rain
155: 1/1/2015 07:13 44.95, -123.08 None
156: 1/1/2015 07:34 49.88, -97.25 Snow
157: 1/1/2015 07:37 33.06, -97.10 Drizzle
158: 1/1/2015 07:37 45.46, -98.41 None
159: 1/1/2015 07:46 32.72, -97.39 Rain/Ice Pellets
160: 1/1/2015 08:01 32.75, -97.40 Drizzle
161: 1/1/2015 08:02 35.29, -99.64 None
162: 1/1/2015 08:08 38.99, -77.16 None
163: 1/1/2015 08:09 39.01, -77.15 None
164: 1/1/2015 08:14 39.07, -77.16 None
165: 1/1/2015 08:14 31.05, -97.48 None
166: 1/1/2015 08:20 39.13, -77.21 None
167: 1/1/2015 08:22 33.94, -97.12 Freezing Rain
168: 1/1/2015 08:25 32.72, -97.34 Rain
169: 1/1/2015 08:25 32.72, -97.39 Freezing Drizzle
170: 1/1/2015 08:35 32.49, -95.45 Rain
171: 1/1/2015 09:10 33.95, -96.41 Ice Pellets
172: 1/1/2015 09:42 33.45, -96.74 Drizzle
173: 1/1/2015 09:49 32.41, -99.49 Freezing Rain
